search_term,search_term_inferred,freq
Marie,Marie,33755
Moong dal,Moong Dal,33564
Cow milk,Cow Milk,33174
Brown bread,Brown bread,33088
Panner,Paneer,33006
Protein,Protein,32908
Cake,Cakes,32887
Fanta,Fanta,32867
Toor,Toor,32847
Sabudana,Sabudana,32823
Cat food,Cat Food,32775
Hing,Hing,32535
Onions,Onion,32409
Namkeen,Chips & Namkeen,32370
water,Water,32178
Cashew,Cashew,32142
Makhana,Mr Makhana,32125
Rajma,Rajma,32007
Colgate,Colgate,31986
Ocb,,31731
eggs,Eggs,31708
Dosa batter,Batter Dosa,31458
maggi,Maggi,31395
Onio,Onion,31342
Beer,Beer,31327
Garbage,Garbage,31296
butter,Butter,31239
Mustard,Mustard,31237
Sugar ,Sugar,31174
Magnum,Magnum,31135
Cold coffee,Cold Coffee,31045
Brinjal,Brinjal,30960
Battery,Battery,30874
Cucu,Cucumber,30872
Tagz,Tagz,30870
Biscuit ,Biscuits,30860
Jaggery,Jaggery,30839
Pizza,Pizza,30801
Capsi,Capsicum,30687
Pudina,Pudina,30637
Cakes,Cakes,30489
Banan,Banana,30313
Kurk,Kurkure,30126
Nescafe,Nescafe,30112
Bun,Bun,29885
Carr,Carrot,29679
Curd ,Curd,29464
Popcorn ,Popcorn,29442
Pickle,Pickles,29408
Aloo,Loose,29160
Buttermilk ,Buttermilk,29116
Slice,Slice,28934
Tropicana,Tropicana,28923
Lays ,Lay's,28610
Sweet corn,Sweet Corn,28601
Sunflower,Sunflower Oil,28399
Spinach,Spinach,28381
Burger,Burger,28346
Tata tea,Tata Tea,28264
Paratha,Paratha,28197
Potato ,Potato,28091
Refined oil,Refined Oil,27663
Yakult,Yakult,27590
Coconut oil,Coconut Oil,27460
Tissue,Tissues,27430
Onion ,Onion,27053
Kinder,Kinder JOY,27030
Basmati,Basmati,26933
Maggi ,Maggi,26924
Comfort,Comfort,26919
Thumbs,Thums,26907
Kulcha,Kulcha,26839
Amul ice,Amul Ice,26810
Cup noo,Cup Noodles,26779
Refined,Refined,26692
oil,Oil,26582
Lay,Lay's,26349
Nandini,Nandini,26223
Green chilli,Green Chilli,26164
Thu,Thums,26087
Urad,Urad,25921
Chips ,Chips,25897
Coriander ,Coriander,25863
onion,Onion,25806
Hand wash,Hand Wash,25745
Atta,Fortune,25711
Cabbage,Cabbage,25607
Meggi,Maggi,25599
Red label,Red Label,25553
Cheese ,Cheese,25471
Cigg,,25451
Peanuts,Peanuts,25318
Green ,Green,25285
Pan,Paneer,25185
Too yumm,Too Yumm,25102
Peanut,Peanuts,24735
Cig,CLASSIC,24717
Kwality Wall's,Kwality Wall's,24706
sugar,Sugar,24694
Garlic ,Garlic,24580
Dove,Dove,24542
Kurku,Kurkure,24455
Kwality,Kwality,24427
Dairymilk,Dairy Milk,24202
Dhaniya,Dhania,23920
Brush,Toothbrush,23796
Olive oil,Olive Oil,23749
Cookies,Cookies,23602
Yoghurt,Yogurt,23557
Bhindi,Bhindi,23476
Colin,Colin,23435
Icecream ,Cream,23324
Parle g,Parle,23318
Mccain,McCain,23279
Matar,Matar,23174
Soda,,22936
Kulfi,Kulfi,22909
coke,Coca,22875
Ice tea,Ice Tea,22819
tomato,Tomato,22811
Butt,Butter,22810
Face wash,Face Wash,22756
Ginger garlic,Ginger Garlic,22729
Hide,Hide,22690
Corian,Coriander,22609
Veet,Veet,22543
Beet,Beetroot,22484
Amul kool,Amul Kool,22325
Sauce,Sauce,22215
Tonic water,Tonic Water,22090
Bis,Biscuits,22055
Upma,Upma,22035
Surf excel,Surf Excel,22030
Candy,Candy,22029
Oni,Onion,21985
Idli,Idli,21942
Mag,Maggi,21919
Freedom,Freedom,21897
Ocean,Ocean,21872
Vim ,Vim,21824
Ice crea,Ice Cream,21706
Epi,Epigamia,21589
Nacho,Nachos,21576
Nic,NIC,21472
Atta,Pillsbury,21372
Coolberg,Coolberg,21356
Choclate,Chocolate,21313
cheese,Cheese,21307
Chana dal,Chana Dal,21269
Marlboro,null,21218
Oregano,Oregano,21191
Dori,Doritos,21153
Froo,Frooti,21151
Coffee ,Coffee,21131
Coca cola,Coca Cola,21066
Fruits ,Fruits,20971
Cornitos,Cornitos,20968
soda,Soda,20961
Bhel,Bhel,20843
Pepper,Pepper,20813
Coconu,Coconut,20757
Parle,Parle,20735
Ice cre,Ice Cream,20730
Crax,Crax,20712
Stayfree,Stayfree,20643
Chocol,Chocolates,20595
Kaju,Kaju,20528
Odonil,Odonil,20406
Cold,,20403
Baskin,Baskin,20399
Body wash,Body Wash,20339
Banana ,Banana,20305
Adrak,Adrak,20286
Unibic,Unibic,20277
Cheese slice,Cheese Slices,20204
Mtr,MTR,20199
